IA 5 min	Densité pédite 0+/m2 (quantiles)				
191	0,892	0,987	1,042	1,099	1,219
192	0,895	0,990	1,046	1,104	1,225
193	0,897	0,999	1,053	1,111	1,232
194	0,906	1,005	1,059	1,115	1,237
195	0,902	1,007	1,066	1,123	1,248
196	0,911	1,013	1,070	1,128	1,254
197	0,919	1,019	1,074	1,134	1,254
198	0,923	1,020	1,078	1,138	1,261
199	0,925	1,028	1,083	1,142	1,267
200	0,934	1,032	1,088	1,148	1,275
201	0,940	1,041	1,098	1,158	1,285
202	0,942	1,041	1,102	1,162	1,280
203	0,952	1,049	1,107	1,170	1,291
204	0,953	1,055	1,111	1,172	1,294
205	0,953	1,060	1,118	1,178	1,299
206	0,965	1,064	1,121	1,184	1,300
207	0,967	1,070	1,130	1,191	1,308
208	0,974	1,077	1,135	1,195	1,319
209	0,975	1,081	1,138	1,201	1,324
210	0,980	1,087	1,146	1,206	1,338
211	0,987	1,091	1,151	1,212	1,333
212	0,988	1,096	1,154	1,215	1,338
213	0,999	1,103	1,161	1,224	1,348
214	0,999	1,107	1,167	1,229	1,353
215	1,006	1,114	1,172	1,232	1,359
216	1,009	1,116	1,176	1,241	1,364
217	1,018	1,124	1,185	1,247	1,374
218	1,018	1,130	1,188	1,248	1,375
219	1,025	1,134	1,195	1,258	1,384
220	1,032	1,138	1,202	1,261	1,391
221	1,035	1,142	1,205	1,267	1,398
222	1,037	1,147	1,209	1,274	1,398
223	1,049	1,155	1,215	1,280	1,411
224	1,050	1,160	1,221	1,283	1,409
225	1,054	1,166	1,226	1,291	1,421
226	1,058	1,170	1,233	1,294	1,419
227	1,067	1,174	1,234	1,297	1,436
228	1,070	1,182	1,244	1,309	1,438
229	1,073	1,185	1,247	1,312	1,448
230	1,082	1,192	1,254	1,320	1,446
231	1,090	1,195	1,260	1,323	1,455
232	1,092	1,204	1,265	1,330	1,456
233	1,096	1,207	1,269	1,335	1,467
234	1,100	1,213	1,274	1,339	1,472
235	1,110	1,217	1,282	1,348	1,477
236	1,113	1,221	1,286	1,351	1,477
237	1,112	1,228	1,292	1,355	1,496
238	1,124	1,234	1,298	1,363	1,498
239	1,124	1,240	1,302	1,368	1,504
240	1,129	1,244	1,308	1,374	1,502
241	1,138	1,249	1,313	1,379	1,511
242	1,134	1,253	1,318	1,385	1,523
243	1,144	1,262	1,326	1,391	1,527
244	1,146	1,263	1,327	1,396	1,532
245	1,154	1,274	1,339	1,404	1,541
246	1,154	1,276	1,341	1,408	1,545
247	1,166	1,279	1,343	1,415	1,553
248	1,165	1,285	1,351	1,417	1,552
249	1,180	1,293	1,359	1,424	1,565
250	1,177	1,299	1,362	1,428	1,555
251	1,184	1,302	1,365	1,431	1,568
252	1,189	1,308	1,373	1,441	1,587
253	1,196	1,314	1,378	1,447	1,587
254	1,200	1,319	1,384	1,452	1,592
255	1,206	1,321	1,389	1,458	1,599
256	1,209	1,331	1,396	1,462	1,607
257	1,213	1,330	1,396	1,468	1,611
258	1,222	1,340	1,405	1,473	1,614
259	1,223	1,342	1,410	1,478	1,619
260	1,231	1,347	1,413	1,481	1,627
261	1,233	1,354	1,421	1,490	1,634
262	1,247	1,360	1,427	1,496	1,643
263	1,244	1,367	1,433	1,503	1,648
264	1,247	1,368	1,436	1,506	1,648
265	1,249	1,372	1,439	1,512	1,658
266	1,257	1,384	1,450	1,518	1,664
267	1,260	1,385	1,454	1,525	1,663
268	1,263	1,392	1,463	1,531	1,675
269	1,271	1,399	1,465	1,537	1,688
270	1,275	1,402	1,470	1,543	1,692
271	1,287	1,408	1,473	1,547	1,694
272	1,286	1,410	1,480	1,551	1,694
273	1,294	1,415	1,486	1,558	1,707
274	1,298	1,423	1,494	1,567	1,711
275	1,305	1,425	1,498	1,571	1,722
276	1,307	1,433	1,503	1,574	1,719
277	1,317	1,443	1,510	1,583	1,734
278	1,321	1,444	1,514	1,584	1,727
279	1,323	1,448	1,517	1,592	1,740
280	1,325	1,454	1,524	1,596	1,743
281	1,343	1,459	1,526	1,600	1,750
282	1,343	1,465	1,535	1,607	1,759
283	1,338	1,470	1,538	1,615	1,764
284	1,348	1,476	1,546	1,619	1,767
285	1,350	1,478	1,552	1,626	1,780
286	1,364	1,486	1,558	1,630	1,780
287	1,365	1,494	1,565	1,636	1,792
288	1,369	1,493	1,566	1,639	1,787
289	1,374	1,501	1,570	1,643	1,802
290	1,379	1,506	1,581	1,656	1,805
291	1,386	1,515	1,585	1,663	1,818
292	1,389	1,518	1,591	1,666	1,809
293	1,395	1,523	1,597	1,672	1,822
294	1,396	1,525	1,597	1,677	1,832
295	1,402	1,536	1,607	1,685	1,829
296	1,409	1,540	1,615	1,687	1,840
297	1,412	1,544	1,616	1,691	1,845
298	1,419	1,547	1,621	1,698	1,844
299	1,424	1,556	1,626	1,702	1,861
300	1,427	1,563	1,636	1,708	1,865
